marker,n,n_mut,n_mut_events,unadj_hr,unadj_p,adj_hr,adj_lo,adj_hi,adj_p,penalized
STK11 (NSCLC),335,68,46,1.3083888759214122,0.10811974867888628,1.4163338070088882,1.0142332243412184,1.9778502663223851,0.0410610378444616,False
KEAP1 (NSCLC),335,69,45,1.348549432994955,0.07635335725855211,1.541283644907943,1.0914623208087288,2.17648857754478,0.014009464854019724,False
Resistance set (NSCLC),335,126,80,1.165287765871983,0.2842833728540914,1.3364451776126067,0.9932737874641849,1.7981806580478132,0.05544269873231775,False
"STK11 (pan-cancer, type-adj.)",1630,96,59,1.3417260437987495,0.041969447477271694,1.4974213858040404,1.123918003000079,1.9950483938134187,0.005816297787221173,False
"Resistance set (pan-cancer, type-adj.)",1630,338,175,0.9756400524483722,0.7804019387646025,1.1494770014909204,0.9576736261451734,1.3796948572918748,0.13474776772854433,False
