model,label,cindex_mean,cindex_sd,ipcw_mean,auc_mean
FDA_TMB10,TMB ≥ 10 (FDA cutoff),0.5515163187904399,0.017444392210396446,0.5532764141866554,0.5619472691638063
TypeSpecTMB,Type-specific top-20% TMB (Samstein),0.5348683779516261,0.015063147702974167,0.5339329918898656,0.5453619669935019
Cox_TMB,Cox: TMB alone,0.5466747876653986,0.01785100019015808,0.5510787772504799,0.5639447143232108
Cox_Clin,Cox: clinical only,0.6231201893541644,0.013603984972368737,0.6033494978112203,0.6969400386605247
Cox_TMB_Clin,Cox: TMB + clinical (no genes),0.6374571178192153,0.01677877595857538,0.6207561715128127,0.7111815419325646
Coxnet_Full,Elastic-net Cox: TMB + clinical + genes,0.6429707205537935,0.018946757325663782,0.6252055545249275,0.7164767269448614
RSF_Full,Random survival forest: full model,0.6414793738703652,0.018198936615330286,0.628389087489841,0.7140328935577129
