,Logistic (signatures),Logistic (126 genes),MLP (adversary off),DANN (lambda=1.0),DANN (lambda=2.0)
blca_iatlas_imvigor210_2017,0.5819693094629156,0.6034526854219948,0.5953964194373402,0.589769820971867,0.5928388746803068
rcc_iatlas_immotion150_2018,0.5971428571428571,0.5319047619047619,0.5441269841269841,0.5520634920634921,0.5692063492063493
mel_iatlas_liu_2019,0.46621621621621623,0.44876126126126126,0.41131756756756754,0.41779279279279274,0.42652027027027023
mel_iatlas_riaz_nivolumab_2017,0.55,0.6096153846153847,0.642948717948718,0.6185897435897436,0.614102564102564
mel_iatlas_gide_2019,0.7993197278911565,0.7283770651117589,0.6958211856171039,0.6783284742468415,0.6836734693877551
mel_iatlas_hugo_ucla_2016,0.5384615384615384,0.5274725274725274,0.543956043956044,0.5714285714285714,0.5989010989010989
paad_iatlas_prince_2022,0.6377379619260918,0.5845464725643896,0.5722284434490481,0.6052631578947367,0.6063829787234042
