cohort,auc,mean_disagree,mean_ood
mel_iatlas_liu_2019,0.46340090090090086,0.02618969833827745,1.1286589057652738
mel_iatlas_hugo_ucla_2016,0.5384615384615384,0.024010535362131893,1.1321912945378143
mel_iatlas_riaz_nivolumab_2017,0.5570512820512821,0.02851216361417674,1.0675774481383495
blca_iatlas_imvigor210_2017,0.5783248081841432,0.028125369104222114,1.2454398677822043
rcc_iatlas_immotion150_2018,0.5962698412698413,0.03915666166913398,1.3323319785473549
paad_iatlas_prince_2022,0.6366181410974244,0.032180902113840594,1.3006120906401093
mel_iatlas_gide_2019,0.8007774538386784,0.024560138877539456,1.1215213406767075
